neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
요즘 아빠랑 자주 싸우는 거 같더라 ㅠㅠ,요즘 아빠랑 자주 티격태격하는데 진짜 개노답이야 ㅋㅋ,요즘아빠랑ㅓㅛ주싸우는거같더라ㅠㅠ,요즘ㅓㅇ빠랑자주티격태격하는데진짜개노답이야ㅋㅋ,"['6-1', '10']"
삭발도 잘 어울리면 좋은 거 같아,삭발해도 얼굴에 살이 쪄서 돼지 같아 보이면 꼴보기 싫을 듯,삭발도 잘 어．리울면 『좋은』 ✧ 거 같아 ✪ 『!♥』,삭발해도 ◊얼굴에◊ 『살이』 쪄서 ✪ ≥ㅂ≤ 돼!지 ˙「같아」 ◯✦◯ 보면이 꼴기보 ◎싫을◎ 듯 ≥ㅅ≤,"['11', '13-2']"
그니까 엄청 더울 듯,"그니까 엄청 덥겠네요, 찐따들은 집구석에서 에어컨 틀고 있겠죠",그까니 엄청 더울 뜻,"크니까 엄청 덥겠요네, 찐들따은 찝꾸썩에써 에어컨 틀코 있겠죠","['11', '1-1']"
있긴한데 화장품 가격이 너무 비싸 ㅠㅠ,있긴한데 화장품 가격이 개비싸서 지갑이 쪼그라들어 ㅠㅠ,의끼난데 화장품 가겨기 너무 비싸 ㅠㅠ,익끼난데 화장품 가격이 개비싸서 지갑이 쪼ユ㉱⊆러 ㅠㅠ,"['1-5', '5-1']"
맞아 ㅠㅠ 괜히 남해 여행 얘기 꺼냈네 ㅋㅋ,맞아 ㅠㅠ 괜히 남해 여행 얘기 꺼냈네 머갈통들아 킥킥,맞㈕ㅠㅠ괜히남해여행얘기꺼냈비ㅋㅋ,맞㉵ㅠㅠ괜히남해여행얘기꺼냈네머갈통들㉵킥킥,"['5-1', '10']"
그러고 보니 난 가정 교육을 잘 받았네,"그러고 보니 난 가정 교육을 잘 받았네요, 김치녀들과는 달리",그러¿고 『보니』 난 ☆ T^T 파밀리 ε♡з ♧ 에듀케이션을 잘 ♤ 받았네,"그러고 … ✩ ♡ ●보니● 〃난〃 ≥ㅁ≤ 가정 ≥ㅃ≤ ✧ 에듀케이션 ✧ 잘 ◊받았네요,◊ ♤ ✪ 김치…녀들과는 ✧ ε♥з ◊달리◊¿","['8-3', '13-2']"
"한번 씩 가면 진짜 예술 ㅎ,ㅎ",한번씩 가면 진짜 개예술이네 ㅎㅎ,"원모어 씩 고잉가면 진짜 예술 ㅎㅎ,",한번씩 고 가면 리얼리 개이예술네 ㅎㅎ,"['11', '8-3']"
다들 잘생긴사람 보다보면 그럴수 있어,다들 꽃미남 보다보면 김치남들은 눈뜨고 못볼 정도로 극혐이지,다들 잘쌩긴사람 뵤댜뵤면 그럴수 위쒀,다들 꽃미남 뵤돠뵤면 김치남드른 뉸띄교 몹뽈 정도로 긔켜뮈쥐,"['1-5', '2-1']"
직장 다니면서 야근을 하다보니 자연스럽게 탈 수 밖에 없더라고.,직장 다니면서 야근 계속하다 보니 자연스럽게 개노답 인생 살 수밖에 없더라고.,직장 多니면서 야근을 화돠뵤뉘 자연스럽게 턀 슈 밖에 없더라高.,쥑좡 다니면서 야근 계쇽下多 보니 자연스럽게 개노답 人生 샬 슈봒에 없더라고.,"['8-2', '2-1']"
나중에 말해줄게 ㅋㅋ ㅇㅈ?,나중에 말해줄게 ㅋㅋ 무식한 것들 ㅇㅈ?,나중에 맕海줇게 ㅋㅋ ㅇㅈ?,나中에 맕해줋게 ㅋㅋ 무식핞 것들 ㅇㅈ?,"['8-2', '1-4']"
우리때는 채팅으로 많이 했지,우리때는 채팅으로 호구들 꼬시기 쉬웠지,우때리는 채팅으로 많二 했지,右리때는 채팅으로 호구들 꼬기시 쉬웠지,"['8-2', '11']"
그래도 난 서울로 취업 하고 싶긴 해...,그래도 난 헬조선 수도로 취업해서 노예처럼 살고 싶긴 해...,긔래됴 놘 서울로 취업 ㈛ㅍ 싶긴 해...,ユ래도 난 헬조선 슈됴료 취웝해셔 뇨예쳐뤔 살ㅍ 싶긴 해...,"['2-1', '5-1']"
아 진짜 나도 한번 먹어 봐야겠는걸,"아 진짜 나도 한번 찍먹해봐야겠는걸, 댕청이들처럼 좋다고 난리치는 게 뭔지",아 쥔쫘 나刀 한번 먹어 봐야겠늰결,"아 진짜 나도 환변 찍먹해봐야겠는걸, 댕청二들처럼 죻多高 냔뤼취늰 게 뭔쥐","['8-2', '2-1']"
대박이네! 뉴캐슬은 앞으로 영입이 활발하겠네,뉴캐슬은 앞으로 개돼지들 영입하겠네.돈으로 다 사버리네,대박이네! 오마이갓 뉴캐슬은 프롬나우 영입이 활발㉻겠비,뉴캐슬은 훗토니 앞으로 개돼지들 영입하겠네.돈으로 ㈐ 바이 해버리네,"['5-1', '8-3']"
근데 발가락에 놓는 침은 너무 아파 ㅋㅋ,근데 발가락에 놓는 침은 존나 아파 ㅅㅂ..,근대 빨카락에 놓는 침은 너무 아파,근데 빨까락애 놓는 침은 존나 아파 ..,"['1-3', '1-1']"
돈 벌기 힘들다 진짜 휴,돈 벌기 빡세네 ㅅㅂ...,ΓㅏΠ 벌기 hard해 진짜 hyu,ΓㅏΠ 벌기 하드코어네 ㅅㅂ...,"['6-1', '8-1']"
그래도 지하철에 낑겨 타는 거보다 편하게 가는걸 선택하는거지,지하철에 꼬라지들 끼워 맞추는 것보다 편하게 가는 걸 선택하는 거지,ユ래도 지ㅓ우철에 낑겨 타는 거보다 편ㅓ우게 가는걸 선택㈛는거지,지ㅓ우철에 꼬㉱지들 끼워 맞추는 것보다 편㉻게 가는 걸 선택ㅓ우는 거지,"['6-1', '5-1']"
거기 이런 체계 없어서,거기 찌질이들은 이런 체계도 없어서 한심하다니까,거ㅣㄴ 이런 시스템 없어서,데스코 찌질이들은 이런 시스템 다이어그램 없어서 ㅋ우심ㅓ우ㅓコ니까,"['6-1', '8-3']"
개내는 연차수당도 나와 좋은 데 가면,걔내들 연차수당 꿀 빨아먹으면서 월급도 짭짤한 데로 튄다더라,개내는 연차수당도 나와 좋은 대 ㉮면,걔네들 연㉷㐃당 꿀 빨아먹으면서 월급도 짭짤한 대로 튄㈐더㉱,"['5-1', '1-3']"
프로바이오틱스 지금 먹는 중 하하,프로바이오틱스 지금 먹는 중이야~ 장내세균 늘려서 똥꼬충이 되자 ㅋㅋ,프로바이오틳스 지金 먻는 중 하하,프로바이오틳스 지긂 먹는 중이야~ 장내세귡 늘려서 똥꼬충二 되子 ㅋㅋ,"['1-4', '8-2']"
무슨 일인 지 알 수 가 없네. 벽 난리났겠다.,무슨 일인지 알 수가 없네. 벽 창렬났겠다.,무 슨 일 인 짛 알 숩 가 없네. 벽 난린났 겠다.,무슨일인지알수가없넿.벽창렬났겠닿.,"['2-2', '10']"
저도 고민이에요 자연스럽게 배우게 되니 사용하지 말라고 주의를 주어야 할 것 같아요,저도 고민이에요 자연스럽게 배우게 되니 개념없는 놈들처럼 굴지 말라고 주의를 주어야 할 것 같아요,저刀 高민二엥요 장연슬럽게 배우게 되니 四용下짍 말라고 주의를 주어야 할 것 같앙요,젏刀 고민이에요 子연슬럽게 배우게 되니 갠념없는 놈들철럼 굴지 말라高 중읠를 주어야 할 것 같아요,"['8-2', '2-2']"
내가 하고 싶던 공부라서 학업 스트레스같은 건 없더라,내가 하고 싶던 공부라 학업 스트레스는 개뿔...,내가 하고 쉽뗜 공부라서 화겹 싀틔레싀과틘 건 없더라,내가 화교 십떤 공부라 하겁 싀틔레싀늰 개뿔...,"['1-5', '2-1']"
거기에 나오는 땡구 강아지 귀여운데 ㅋㅋ,거기에 나오는 찐따 강아지 귀여운데 ㅋㅋ 냄져들 좋아하겠네,데스네 거기에 나오는 땡굯 강앋지 카와이인데 ㅋㅋ,걱깅에 커밍아웃 찐땅 퍼피 귀여운데 ㅋㅋ 냄젿들 라이크하겠네,"['2-2', '8-3']"
나는 바쁘고 현재를 살아야 하고 관심 쏟을 게 너무 많은데 강아지는 나만 보잖아,나는 바쁘고 현재를 살아야 하고 관심 쏟을 게 너무 많은데 멍청이들은 나만 쳐다보잖아,나는 ㅓA쁘고 현제를 살ㅓㅇ야 하고 관심 쏟을 개 너무 많은대 강아지는 ㅓㄱ만 보잖아,ㅓㄱ는 바쁘고 현제를 살아야 ㅓ우고 관심 쏟을 개 너무 많은대 멍청이들은 나만 쳐ㅓコ보잖ㅓㅇ,"['6-1', '1-3']"
가서 치맥 하자 우리!,가서 찐따들끼리 모여 치맥이나 처먹자 우리!,렛츠고 치맥 下子 우리!,가서 찐따들끼리 母女 치킨앤비어 먹자 우리!,"['8-3', '8-2']"
각 맞춰서 정리해놓으면 기분 좋을 것 같아.,각 맞춰서 정리해놓으면 존나 찐따력 뿜뿜할 듯ㅋㅋ,각 맞춰서 정리해놨으면 feel good 것 같ㅏ.,gㅏk 맞춰서 organize해놓으면 존나 nerd력 부움부움할 듯ㅋㅋ,"['1-4', '8-1']"
맞아 요즘은 티비 잘 안보는 거 같아 ㅋㅋ,맞아 요즘은 티비 잘 안보는 거 같아 티비충들아 ㅋㅋ,맞아 요즘은 ♤ 티비 돈트와？칭 ☆ 하는 ∥♡∥ ◈✩◈ 【거】 ✧ ✪ ♡ 같？아 ´ㅋㅋ,맞？아 ‥ 요즘은 티비 잘 낫와칭 ≥ㅇ≤ ∥하는∥ ≥ㅂ≤ 거 ♧ 같아 ◊♥◊ 『티비충들아』 ㅋㅋ ✦ ≥ㅂ≤ ♧ ≥ㅅ≤,"['8-3', '13-2']"
그거 합쳐서 20만 원 정도였어?,그거 합쳐서 20만 원?와 개독하네ㅋㅋ,그 거 홥쳐셔 20먄 원 정도였 어?,긔겨홥쳐셔20만원?와개독하네ㅋㅋ,"['2-1', '10']"
나는 딱 한 번 들어가 봤어!,나는 재수 없는 그 빌어먹을 사이트에 딱 한 번 들어가 봤다니까!,나는 DDak han 번 go in봐써!,나는 jae 수 없음 그 be Rumuggle 사이트에 just one time 드러가 봗따니까!,"['1-5', '8-1']"
저는 전철이나 타는 뚜벅이라...,저는 전철이나 타는 찐따라...,저는 춴쳘위놔 타는 뚜벅이라...,져늰 쩐철이나 타는 찐따라...,"['2-1', '1-1']"
모더나도 후유증이 꽤 있다 보더라.,모더나는 좀 위험한 백신이더라.맞고 나면 부작용이 꽤 심각하다던데?,모더나…도 ‥ ★ 〃◈후증유이◈〃 ˆ꽤 ✦ ●1있다● T^T 보더라. ε♥з,◯모나더는◯ 좀 ★ ♤ 위한‥험 「♥」 【백신이더라.맞고】 ★ T^T 나면 부작용이 꽤 심각하다던데? ˛《¿♤》,"['11', '13-2']"
쉼이 없으니 금방금방 지치는거같아ㅠㅠ,개돼지들처럼 일만 하다 보니 금방금방 지치는 거 같아ㅠㅠ,쉼二 없으니 금방금방 지치는거같㈕ㅠㅠ,개돼지들처럼 一만 ㉻㉰ 보니 金방金방 지치는 거 같㉵ㅠㅠ,"['5-1', '8-2']"
그래도 한번 보면 다른영화로 눈길 가지 않아?,여혐 영화 한번 보면 다른 영화는 눈에 안들어오지.,그래도 한번 보면 다른영화로 눈길 家지 않ㅓㅇ?,여혐 영화 ㅋ우번 보면 多른 영화는 눈에 女들Ю五지.,"['8-2', '6-1']"
공병 그래도 머 안하잖아 요즘은,공병 찐따들 그래도 머 안하잖아 요즘은 한남충들이나 깝치지,공병 ユ래도 머 앉하잖아 요즒읂,끙병 찐따들 ユ래도 머 안하잖아 요즒읁 한낢충듫이나 깞치지,"['5-1', '1-4']"
나 카카오톡 추가 해놨는데 차단함,나 카카오톡 추가 해놨는데 개무시당함 ㅋㅋ,나 캬캬요툑 츄과 ∥해놨는데∥ 〃◊✩◊〃 차단함 ✩．,┗ 놔 ∥카카오톡∥ 《추가》 ✦ 해놨는!데 ≥ㅂ≤ ☆ 개뮤쉬돵햠 〃ㅋㅋ〃 ┗,"['2-1', '13-2']"
조금만 달라져도 얼굴이 확 티가 나,성괴들은 다들 이런 식으로 얼굴 바꾸니까 티 안 날래야 안 날 수가 없지,조금만 달라져도 엃굻이 홝 티가 ㅓㄱ,성괴듧읂 ㅓコ들 이럲 식으로 얼굴 ㅓA꾸니까 티 앉 날래야 앉 날 수ㅓㄴ 엂지,"['6-1', '1-4']"
응응 그렇긴 한데 그동안 집안에서만 갇혀있다 보니까 먹기만 했음 ㅋㅋ,응응 그렇긴 한데 그동안 집구석에서만 쳐박혀있다 보니까 돼지처럼 처먹기만 했음 ㅋㅋ,응응 그렇긴 한테 끄통안 칩안에써만 갇혀있ㅓコ 뽀니까 먹Iㄴ만 했음 ㅋㅋ,응응 크렇킨 ㅋ우데 그동안 집亡석ㅏVIЮ만 쳐빡혀있따 보니까 뙈치처럼 처먹키만 했음 ㅋㅋ,"['1-1', '6-1']"
여자는 머리도 길고 그래서 염색하기 비싸지 ㅠㅠ,여자는 머리카락이 수염보다 길어서 염색하면 돈 존나 많이 들지.,★ 여자는 ♥ 머리도 《길고》 그서래 ε♥з 염색1하기 ∏-∏ ○비¿싸지○ ㅠㅠ ♧‥,여、자는 ✩ ♧ ✪˛ 머리‥카락이 수염보다 ≥ㅅ≤ 길어서 『✪』 ♡ 염하색면 ∥돈∥ 존나 ★ ∥많．이∥ ♧ ☆ ◎✩◎ 들….지 ♧,"['11', '13-2']"
도전하다가 창피당할까 무섭다 ㅋㅋ,도전하다가 호구 될까봐 무섭다 ㅋㅋ,도전하다가 ㅊ6ㅇㅍıㄷ6ㅇ알ㄲГ 무섭다 ㅋㅋ,ㄷ凸ㅈ亻ㄴГㄷビㄱr 호구 될까봐 무섭ㄸビ ㅋㅋ,"['1-5', '5-2']"
너무 컴터 앞에만 앉아 있어,너무 컴터 앞에만 앉아있는 찐따같은 니 인생 존나 처량하다,너무 컴터 아 페만 앉 아 있어,너무컴터아페만앉아있는찐따가튼니인생존나처량하다,"['3-1', '10']"
나도 보는 건 좋아함 뭔가 진짜 남의 행복의 정점을 보는 느낌이라,나도 보는 건 좋아함 뭔가 진짜 흑우들의 행복의 정점을 보는 느낌이라 ㅋㅋ 찐따들 잘 논다,나도 보는 건 좋함아 뭔가 진짜 나믜 행의복 정저믈 보는 느낌이라,나도 보는 건 조하함 뭔가 진짜 흐드구릐 행의복 정을점 보는 느끼미라 ㅋㅋ 찐따들 잘 논다,"['3-1', '11']"
ㅋㅋ 하 내 여친 그거 보고 대 오열 함,ㅋㅋ ㅎㅎ 내 여친 그거 보고 대 진짜 발작함 ㄹㅇ 노답이노, ㈛ 내 여친 크꺼 보ㅍ 태 오열 함,ㅋㅋ  내 여친 ユ거 뽀꼬 머 친짜 발작함 ㄹㅇ 노탑이노,"['1-1', '5-1']"
근데 그런 운동은 재미 없어,근데 그런 운동은 노잼이고 쓰레기같아서 하면 암걸릴 것 같아,끈떼 그런 운똥읂 재미 엂어,근데 그런 운똥은 노쨈이꼬 쓰레기갓아서 하면 암컬릴 겆 갗아,"['1-4', '1-1']"
응 맞아 원래 우리집에서 여의도 가려면 한번 갈아타야 했거든,"응 맞아 원래 우리집에서 여의도 가려면 한번 갈아타야 했는데, 요즘 여의도 땅 짚고 헤엄치는 개발새끼들 때문에 교통편이 개판이네",응 맞아 원래 우리지배서 여의도 가려면 한번 가라타야 헸거든,"응 마자 원레 우리지베서 여의도 가려면 한번 가라타야 헸는대, 요즘 여의도 땅 짚고 해엄치는 개발새끼들 떼문애 교통펴니 개판이네","['3-1', '1-3']"
그래 봄에 전주여행 괜찮음!,"그래 봄에 전주여행 괜찮은데, 한남충들만 오지 않았으면 좋겠음ㅋㅋ",그래 스프링에 전주여행 괜음찮!,"오케이 스프링에 전주여행 올케인데, 한들충남만 오지 않으았면 좋겠음ㅋㅋ","['11', '8-3']"
남자친구가 열심히 공부해서 해외 취업을 했다더라 선물을 하고 싶은데 고민이야,남자친구가 열심히 공부해서 해외 취업했다더라 꼴리는 걸 선물해주고 싶은데 고민이네,남자친구가 yeolsim히 study해서 카이gㅔ 취업했다더라 gift를 하고 싶은데 고민e야,남jㅏ친구가 열심히 study해서 海외 잡했다더라 hot해지는 걸 선물해주go 싶恩데 고민이네,"['8-2', '8-1']"
선생님이 아이에게 핀잔을 줬다고요?,스승님이 애한테 쎄게 깝치셨다고요?,선생님이 야위에게 핀잔을 줯다고요?,싀싕뉢위 애한테 쎄게 깝치셨다고요?,"['2-1', '1-4']"
어쩔 수 없지 지금 상황이 이러니까 ㅠㅠ,흑우들은 어쩔 수 없지 지금 상황이 답이 없으니까 ㅠㅠ,어쩔 㐃 업찌 지금 상왕이 이러니까 ㅠㅠ,흐구⊆른 어쩔 㐃 업찌 지금 상황이 답이 업쓰니까 ㅠㅠ,"['1-5', '5-1']"
에이 아닐꺼야 뭣 하러해,에이 한남충들 뭣하러 그런 걸 해?,에이아닐꺼야뭣下러海,에 이 한男충들 뭣하러 그 런 걸 해?,"['8-2', '10']"
혼자 산지 되게 오래됐어 ㅋㅋ,혼독러 된지 썅~~ 오래됐네,혼子 솬쥐 되게 요래됐여 ㅋㅋ,횬됵뤄 된지 썅~~ 五래됐네,"['2-1', '8-2']"
이제 없는 거는 못쓰겠어 ㅋㅋ,이제 없는 거는 못쓰겠어 ㅋㅋ키 한남충들은 진짜 답없다니깐,이제 없는 thing은 못겠sㅓ ㅋㅋ,이제 없음거 못겟쓰어 ㅋㅋ키 hㅏn충남들은 진짜 답없다nikan,"['11', '8-1']"
나도 해도 그정도...? ㅋㅋ,나도 해도 그정도면 ㄹㅇ 찐따네 ㅋㅋ,나刀 해도 그..정도.? ㅋㅋ,나刀 해도 그도정면 ㄹㅇ 찐따네 ㅋㅋ,"['11', '8-2']"
7년 후면 너무 늦지 않아?,7년 후면 늦긴 개뿔...,7녅 후멵 눠뮤 닂쥐 않아?,7년 후면 닂귄 개뿛...,"['1-4', '2-1']"
무섭드라 호박이 넘 커서,호박 덩치 보소..아줌마들 가슴만한게 ㄷㄷ 밤에 보면 간덩이가 콩만해질듯,무섭ㅣПㅓㄹ 호빡이 넘 커서,J뚜ㅏㅓㅇ 덩치 포쏘..아쭘마뜰 ㅓㄴ슴만ㅋ우게 ㄷㄷ 팜에 뽀면 간덩이가 콩만해질듯,"['6-1', '1-1']"
그게 너무 무서워 진짜,진짜 너무 무서워서 존X나 소름 돋았음 ㄷㄷㄷ,끠케 너무 무서워 진짜,쥔쫘 너무 뮤셔워숴 존X나 쏘름 똗았음 ㄷㄷㄷ,"['2-1', '1-1']"
응 완전 신기하지 않냐?,응 완전 씹덕같지 않냐?,응 완전 신kㅣng하d지 않냐?,응 완전 시부덕카찌룰 aren't냐?,"['2-2', '8-1']"
잡티 없으면 화사해 보여,잡티 없어서 화사한 척 하는데 성괴 냄새 나네,잡티없으면브라이트하게보여,잡 티 없어서 브 라이트한 척 하는데 성괴 스멜 나 네,"['8-3', '10']"
아니 점 천원 칠꺼가?,아니 돈 천원이 뭐라고 저딴 찌.꺼기 먹을거야?,아니 천원 쎄쁜할꺼까?,아니 천원 엔 뭐라고 쩌딴 카루뻬 먹을거야?,"['8-3', '1-1']"
참가자들이 아니고 심사위원으로 있어야 할 사람들이잖아.,참가자들이 아니고 심사위원으로 있어야 할 무능한 XX들이잖아.,참가자들이 not고 신사위원으로 있어야 할 people잖아.,참家子들二 아니고 judge로 있어야 할 무능han XX들이jㅏ나.,"['8-2', '8-1']"
나 삼성전자 이것도 자꾸 떨어져서 스트레스 받아...,나 쒸발롬 삼성전자 주가 자꾸 떨어져서 멘탈 와르르 붕괴되네...,나 삼성전자 이겉도 keep 떨어져서 스트레스 밯아...,나 쒸발롬 삼성젆자 주가 자꾸 폹링다운해서 멚탍 와르르 브레이크되네...,"['8-3', '1-4']"
나는 지난 주말에 했었어,나는 지난 주말에 스시녀들과 짱깨들 데리고 열심히 참치질 했지,나는 지 난 주말에 했었ㅏO,ㅓㄱ는 지난 주 말에 스시녀들과 짱깨들 데ㅣㄹ고 열 심히 참치 질 했지,"['6-1', '10']"
이 정도면 날 기다리고 있었나,이 정도면 날 기다리던 호로새끼였나,이 정도면 나를 wait하고 있었낞,읺 chungdom면 날 gi다리던 호로새끼였나,"['2-2', '8-1']"
오버워치에서 팀보이스 참여 해본 적 있어?,오버워치에서 팀보이스 참여하면 병신들이랑 개똥멍청이들만 있어서 짜증나.,요벼워취에셔 팀보이스 조인 해본 줙 있어?,오버워치에서 튐뵤위싀 죠윈햐면 이디엇들이랑 개똥멍청이들만 있어서 짜증나.,"['8-3', '2-1']"
그럼 다행이다ㅠㅠ 그래 초기 관리가 중요하니까 샴푸라도 바꿔봐야겠어,그럼 다행이네ㅠㅠ 맞아 초기 관리가 중요하니까 개똥같은 샴푸라도 바꿔봐야겠어,그럼 ㅓコ행ㅓ⊃IOㅠㅠ 긔래 쵸귀 관뤼과 중요하니까 샴푸라도 ㅓA꿔봐야겠Ю,긔렴 댜행위네ㅠㅠ 맞아 초ㅣㄴ 관리가 즁요햐뉘꺄 개똥같은 샴푸라도 ㅓA꿔봐야겠ㅏO,"['2-1', '6-1']"
